#NAME	002VWWX	004AWZY	004VWZY	006VHQK	027VYMX	031VPYH	036AXHM	036VXHM	040VYDY	047VLRL
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. Chiba101	1.54E-05	0	0	9.33E-06	1.95E-05	1.90E-05	6.00E-05	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. Z16	3.08E-05	0	0	8.75E-06	0	3.17E-05	1.00E-04	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. dk561	1.54E-05	8.46E-06	0	7.58E-06	0	1.27E-05	2.00E-05	2.71E-05	0	2.59E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. oral taxon 171	0.000246366	0.00012696	1.53E-05	0.000283613	0.000246992	0.000139415	0.000259891	0.000135413	5.50E-05	5.57E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. oral taxon 414	0.000123183	3.39E-05	0	5.99E-05	3.90E-05	0.000145752	8.00E-05	0.000108331	1.14E-05	7.77E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. oral taxon 848	6.16E-05	8.46E-06	7.64E-06	0.000184863	6.50E-06	0.000139415	8.00E-05	5.42E-05	1.14E-05	6.48E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces sp. oral taxon 897	9.24E-05	0	7.64E-06	2.49E-05	2.60E-05	2.53E-05	6.00E-05	0.000108331	2.29E-06	2.59E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces tangfeifanii	0	0	0	1.94E-06	6.50E-06	3.17E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces viscosus	0.000107785	3.39E-05	0	0.000172423	8.45E-05	6.34E-05	0.000179924	0.000243744	2.52E-05	2.72E-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinotignum;s__Actinotignum schaalii	1.54E-05	0	0	1.36E-06	6.50E-06	3.17E-05	6.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium haemolyticum	1.54E-05	8.46E-06	0	2.14E-06	0	2.53E-05	4.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Arcanobacterium;s__Arcanobacterium phocae	4.62E-05	0	0	1.94E-07	0	2.53E-05	6.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Flaviflexus;s__Flaviflexus salsibiostraticola	1.54E-05	0	0	2.33E-06	6.50E-06	2.53E-05	1.00E-04	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Flaviflexus;s__Flaviflexus sp. H23T48	3.08E-05	0	0	2.14E-06	0	6.34E-06	4.00E-05	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii	7.70E-05	0	0	2.33E-06	0	1.90E-05	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia cardiffensis	1.54E-05	0	0	0.000131212	0	2.53E-05	1.00E-04	0.000216661	2.29E-06	1.30E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia meyeri	0	5.08E-05	0	0.000171451	0.000103997	0.00027883	2.00E-05	0.000379157	1.60E-05	3.89E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia odontolytica	0.00080069	0.000550162	6.11E-05	0.001481046	0.001982438	0.003124168	0.001059555	0.004929043	0.000247282	0.000163238
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Schaalia;s__Schaalia radingae	7.70E-05	8.46E-06	0	7.39E-06	1.30E-05	2.53E-05	2.00E-05	2.71E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella bialowiezensis	0	0	0	1.94E-06	6.50E-06	1.27E-05	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Trueperella;s__Trueperella pyogenes	4.62E-05	0	0	4.28E-06	0	5.07E-05	4.00E-05	0	4.58E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinopolysporales;f__Actinopolysporaceae;g__Actinopolyspora;s__Actinopolyspora erythraea	3.08E-05	0	0	5.25E-06	0	6.34E-06	8.00E-05	8.12E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium actinocoloniiforme	0	0	0	2.72E-06	0	1.90E-05	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis	6.16E-05	0	0	1.17E-06	0	5.70E-05	8.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum	4.62E-05	0	0	2.14E-06	0	1.90E-05	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis	4.62E-05	0	0	2.53E-06	0	5.07E-05	4.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium asteroides	7.70E-05	0	0	9.72E-07	0	4.44E-05	4.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum	7.70E-05	0	0	4.08E-06	0	3.80E-05	2.00E-05	2.71E-05	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve	0.000107785	0	0	3.50E-06	0	9.51E-05	2.00E-05	2.71E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum	9.24E-05	0	0	2.33E-06	0	5.07E-05	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium choerinum	3.08E-05	0	0	1.17E-06	0	2.53E-05	6.00E-05	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium coryneforme	4.62E-05	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium	4.62E-05	8.46E-06	0	1.17E-06	0	6.97E-05	4.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium gallinarum	7.70E-05	0	0	7.78E-07	0	5.07E-05	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium indicum	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum	7.70E-05	0	0	4.67E-06	0	0.000120404	1.00E-04	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum	3.08E-05	0	0	1.01E-05	0	6.34E-06	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum	4.62E-05	0	0	1.75E-06	0	4.44E-05	6.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii	6.16E-05	0	0	1.17E-06	0	3.80E-05	8.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum	7.70E-05	0	0	3.89E-07	0	1.90E-05	4.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella vaginalis	6.16E-05	8.46E-06	0	9.91E-06	0	7.60E-05	0	0.000162496	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Parascardovia;s__Parascardovia denticolens	7.70E-05	8.46E-06	0	2.53E-06	0	5.70E-05	4.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia inopinata	6.16E-05	0	0	9.72E-07	0	5.70E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Nanopelagicus;s__Candidatus Nanopelagicus abundans	1.54E-05	0	0	1.17E-06	0	6.34E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Nanopelagicus;s__Candidatus Nanopelagicus hibericus	3.08E-05	0	0	1.36E-06	0	6.34E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Nanopelagicus;s__Candidatus Nanopelagicus limnes	0	0	0	9.72E-07	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__Candidatus Planktophila dulcis	1.54E-05	0	0	3.11E-06	0	6.34E-06	2.00E-05	0	0	1.30E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__Candidatus Planktophila lacus	1.54E-05	0	0	5.83E-07	0	1.27E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__Candidatus Planktophila limnetica	1.54E-05	0	0	3.89E-07	6.50E-06	1.27E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__Candidatus Planktophila sulfonica	1.54E-05	0	0	1.94E-07	0	6.34E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__Candidatus Planktophila vernalis	4.62E-05	0	0	1.17E-06	0	6.34E-06	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Candidatus Nanopelagicales;f__Candidatus Nanopelagicaceae;g__Candidatus Planktophila;s__Candidatus Planktophila versatilis	3.08E-05	8.46E-06	0	9.72E-07	0	6.34E-06	2.00E-05	2.71E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Catenulisporales;f__Catenulisporaceae;g__Catenulispora;s__Catenulispora acidiphila	3.08E-05	0	0	9.72E-07	0	1.90E-05	0.000859639	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium ammoniagenes	1.54E-05	0	0	3.50E-06	0	2.53E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium aquilae	7.70E-05	0	0	5.64E-06	0	2.53E-05	2.00E-05	2.71E-05	0	1.30E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium argentoratense	1.54E-05	0	0	2.92E-06	0.000357489	3.17E-05	0	5.42E-05	6.64E-05	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium atypicum	1.54E-05	0	0	1.56E-06	0	3.80E-05	0.000139941	5.42E-05	4.58E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium aurimucosum	1.54E-05	0	0	2.53E-06	0	6.34E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium callunae	0	0	0	1.75E-06	0	0	4.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium camporealensis	1.54E-05	0	0	5.64E-06	0	0	0	0	4.58E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium casei	3.08E-05	0	0	2.53E-06	6.50E-06	1.90E-05	2.00E-05	5.42E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium choanis	0	0	0	3.89E-06	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium crudilactis	3.08E-05	0	0	1.36E-06	0	1.27E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium cystitidis	0	0	0	2.53E-06	0	1.27E-05	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium deserti	1.54E-05	0	0	1.75E-06	0	6.34E-06	0	0	0	2.59E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium diphtheriae	3.08E-05	0	0	9.91E-06	6.50E-06	3.17E-05	6.00E-05	2.71E-05	4.58E-06	2.59E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium doosanense	1.54E-05	0	0	2.14E-06	0	6.34E-06	4.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium efficiens	1.54E-05	0	0	4.08E-06	0	1.27E-05	6.00E-05	2.71E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium endometrii	0	0	0	2.33E-06	0	6.34E-06	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium epidermidicanis	0	0	0	2.14E-06	0	0	6.00E-05	0	4.58E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium flavescens	1.54E-05	0	0	4.08E-06	0	1.27E-05	0	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium frankenforstense	1.54E-05	0	0	4.67E-06	0	6.34E-06	0.00011995	0	0	2.59E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium genitalium	3.08E-05	0	0	1.17E-06	0	6.34E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium geronticis	9.24E-05	0	0	1.17E-06	6.50E-06	3.17E-05	2.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glaucum	3.08E-05	0	0	9.72E-07	0	1.27E-05	1.00E-04	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum	7.70E-05	0	0	6.61E-06	0	2.53E-05	4.00E-05	0	0	3.89E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glyciniphilum	7.70E-05	0	0	3.11E-06	0	1.27E-05	8.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium halotolerans	3.08E-05	0	0	3.89E-06	0	1.90E-05	4.00E-05	0	2.29E-06	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium humireducens	0	8.46E-06	0	3.89E-06	0	1.27E-05	1.00E-04	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium imitans	3.08E-05	0	0	1.56E-06	0	6.34E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium jeikeium	1.54E-05	0	0	3.89E-06	0	2.53E-05	8.00E-05	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium kroppenstedtii	7.70E-05	0	0	4.67E-06	0	2.53E-05	2.00E-05	8.12E-05	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium kutscheri	1.54E-05	0	0	4.47E-06	0	6.34E-06	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium lactis	3.08E-05	0	0	2.14E-06	0	0	2.00E-05	0	0	1.30E-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium marinum	0	0	0	2.53E-06	0	0	0.00011995	0	0	0
